[Log] stdout/stderr -> logs\20260602_110340\main_tracking_v9_20260602_110340.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_110340
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=23, hdop=0.6, lat=30.4081127305, lon=104.0886426905
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Laser] start_measurement mode=continuous
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=4.0/s, objs=5.0/s, last_udp=0.02s, meas=2, tracks=9, valid=0, master=16
[LIVE] udp=5.0/s, objs=8.0/s, last_udp=0.08s, meas=2, tracks=10, valid=0, master=40
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.08s, meas=2, tracks=10, valid=0, master=40
[LIVE] udp=4.0/s, objs=6.0/s, last_udp=0.38s, meas=1, tracks=8, valid=0, master=40
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.64s, meas=3, tracks=8, valid=0, master=40
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.64s, meas=3, tracks=8, valid=0, master=40
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.65s, meas=3, tracks=8, valid=0, master=40
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.6, lat=30.408111919166668, lon=104.08863398816666
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.65s, meas=3, tracks=8, valid=0, master=40
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.02s, meas=1, tracks=7, valid=0, master=40
[LIVE] udp=5.0/s, objs=6.0/s, last_udp=0.03s, meas=2, tracks=8, valid=0, master=40
[LIVE] udp=5.0/s, objs=7.0/s, last_udp=0.22s, meas=1, tracks=12, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.22s, meas=1, tracks=12, valid=0, master=45
