[Log] stdout/stderr -> logs\20260601_193904\main_tracking_v9_20260601_193904.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260601_193904
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM8@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM9...
[GT06Z] Driver Ready on COM9.
[Adapter] GT06Z 云台已连接: COM9
[GPS] GGA fix_quality=1, num_sats=09, hdop=1.7, lat=30.408342406833334, lon=104.08870464883333
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM10
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[Laser] start_measurement mode=continuous
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.14s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.13s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.12s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.11s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.11s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.44s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.44s, meas=1, tracks=1, valid=1, master=3
[GPS] Waiting for NMEA data on COM8, elapsed=0.0s/5.0s
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.07s, meas=1, tracks=1, valid=1, master=3
[GPS] GGA fix_quality=1, num_sats=11, hdop=2.0, lat=30.4083777565, lon=104.0887021815
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.08s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.08s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.08s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.05s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.05s, meas=1, tracks=1, valid=0, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.05s, meas=1, tracks=1, valid=0, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.06s, meas=1, tracks=1, valid=0, master=3
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.04s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.04s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.04s, meas=1, tracks=1, valid=1, master=4
[GPS] GGA fix_quality=1, num_sats=11, hdop=2.0, lat=30.40837732683333, lon=104.08870521816667
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.04s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.69s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.36s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.69s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.35s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.33s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.66s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.32s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.32s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.33s, meas=1, tracks=1, valid=1, master=4
[GPS] GGA fix_quality=1, num_sats=10, hdop=2.2, lat=30.408378339333332, lon=104.08871071966666
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.33s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.31s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.97s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.66s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.01s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.01s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.02s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.02s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.02s, meas=1, tracks=1, valid=1, master=4
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=1.00s, meas=1, tracks=1, valid=0, master=4
[GPS] GGA fix_quality=1, num_sats=10, hdop=2.2, lat=30.408376505166668, lon=104.08871257233334
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.65s, meas=1, tracks=1, valid=1, master=5
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.98s, meas=1, tracks=1, valid=1, master=5
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.29s, meas=1, tracks=1, valid=1, master=5
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.28s, meas=1, tracks=1, valid=1, master=5
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.62s, meas=1, tracks=1, valid=1, master=5
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.62s, meas=1, tracks=1, valid=1, master=5
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.32s, meas=1, tracks=1, valid=1, master=5
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.31s, meas=1, tracks=1, valid=1, master=5
