timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age
1779612066.123708,26,two_crossing,MATCH_ACCEPT,1,0,357.326374,0.275000,357.316058,0.275000,0.010316,2.834316,0.789544,0.423744,0.199635,26,1,,,,,,,,,
1779612066.124718,26,two_crossing,MATCH_ACCEPT,2,1,2.673626,-0.275000,2.683113,-0.275000,0.009486,2.656327,0.764218,0.395445,0.188584,26,1,,,,,,,,,
1779612066.123708,26,two_crossing,TargetKeep,1,,,,,,,,,,,,,lock_timer_expired,,,,,,,,
1779612066.123708,26,two_crossing,UI_STATUS_SEND,1,,,,357.318922,0.275000,,,,,,27,0,,1,1,1,300.000000,laser,300.000000,1779612065.992822,0.130887
1779612066.123708,26,two_crossing,UI_STATUS_SEND,2,,,,2.680385,-0.275000,,,,,,27,0,,1,0,1,340.000000,mono,,,
1779612066.191018,27,two_crossing,MATCH_ACCEPT,1,0,357.402344,0.275000,357.394388,0.275000,0.007956,2.834235,0.789490,0.422651,0.200643,27,1,,,,,,,,,
1779612066.191018,27,two_crossing,MATCH_ACCEPT,2,1,2.597656,-0.275000,2.604885,-0.275000,0.007228,2.656571,0.764381,0.394620,0.189658,27,1,,,,,,,,,
1779612066.191018,27,two_crossing,UI_STATUS_SEND,1,,,,357.396593,0.275000,,,,,,28,0,,1,1,1,300.000000,laser,300.000000,1779612065.992822,0.198196
1779612066.191018,27,two_crossing,UI_STATUS_SEND,2,,,,2.602810,-0.275000,,,,,,28,0,,1,0,1,340.000000,mono,,,
1779612066.258691,28,two_crossing,MATCH_ACCEPT,1,0,357.478314,0.275000,357.472669,0.275000,0.005645,2.835726,0.790484,0.423222,0.201643,28,1,,,,,,,,,
1779612066.259711,28,two_crossing,MATCH_ACCEPT,2,1,2.521686,-0.275000,2.526707,-0.275000,0.005021,2.658189,0.765459,0.395326,0.190602,28,1,,,,,,,,,
1779612066.258691,28,two_crossing,UI_STATUS_SEND,1,,,,357.474235,0.275000,,,,,,29,0,,1,1,1,300.000000,laser,300.000000,1779612066.191648,0.067042
1779612066.258691,28,two_crossing,UI_STATUS_SEND,2,,,,2.525264,-0.275000,,,,,,29,0,,1,0,1,340.000000,mono,,,
1779612066.327287,29,two_crossing,MATCH_ACCEPT,1,0,357.554238,0.275000,357.550922,0.275000,0.003317,2.837462,0.791641,0.424425,0.202271,29,1,,,,,,,,,
