timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,map_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,internal_track_id,ui_id,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,is_edge_bbox,visible_ratio
1780379976.876492,,,MATCH_ACCEPT,2829,0,15.829795,15.198125,17.425291,,15.684714,1.668046,5.243139,1.894959,2.528812,1.062058,3,1,,,,,,,,,,,,,,,,,,,,,
1780379976.876997,,,NEW_TRACK,2830,1,14.945681,14.547292,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780379976.876492,,,UI_STATUS_SEND,2829,,,,16.548871,196.548871,15.357792,,,,,,4,0,"internal_id=2829,ui_id=856",2829,856,2829,1,-1,99.000000,mono,,,,,,,,,,,,,
1780379980.036278,,,MATCH_REJECT,2829,0,339.578617,11.335625,7.340798,,12.036642,27.771030,17.440473,9.613649,55.469623,36.952624,4,15,,,,,,,,,,,,,,,,,,,,,
1780379980.036278,,,NEW_TRACK,2831,0,339.578617,11.335625,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780379980.036278,,,TargetLost,2829,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379982.676615,,no_packet,TRACK_DELETE,2827,,,,75.974786,,34.249518,,,,634.640630,625.202697,0,50,,,,,,,,,,,,,,,,,,,,,
1780379984.093757,,,MATCH_ACCEPT,2831,0,317.031420,17.283542,339.578617,,11.335625,23.318529,31.403267,19.335045,186.921974,186.921974,1,20,,,,,,,,,,,,,,,,,,,,,
1780379984.093757,,,TargetLost,2829,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379987.204215,,,MATCH_ACCEPT,2830,0,17.538780,21.605625,14.945681,,14.547292,7.519590,82.105043,52.723362,1389.876438,1389.876438,0,50,,,,,,,,,,,,,,,,,,,,,
1780379987.204215,,,TRACK_DELETE,2829,,,,345.958156,,4.324393,,,,768.930387,615.406445,1,50,,,,,,,,,,,,,,,,,,,,,
1780379987.204215,,,TargetLost,2829,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379987.515982,,,MATCH_ACCEPT,2830,0,13.601280,19.501875,17.603669,,21.795091,4.612804,5.700292,2.199728,3.718207,1.120598,1,1,,,,,,,,,,,,,,,,,,,,,
1780379987.515982,,,TargetLost,2829,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379991.015939,,,MATCH_ACCEPT,2830,0,15.034548,22.540625,13.172983,,18.514977,4.435230,18.128425,10.485150,57.694322,52.244044,2,17,,,,,,,,,,,,,,,,,,,,,
1780379991.015939,,,TargetLost,2829,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379991.015939,,,TargetSwitch,2830,,,,,,,,,,,,,,master_lost,,,,,,,,,,,,,,,,,,,,
1780379991.015939,,,UI_STATUS_SEND,2830,,,,14.969926,194.969926,22.501049,,,,,,3,0,"internal_id=2830,ui_id=857",2830,857,2830,1,-1,155.930000,mono,,,,,,,,,,,,,
1780379991.300029,,,MATCH_REJECT,2830,0,4.645756,22.540625,14.972697,,22.689522,10.328014,5.115171,1.782981,2.452638,0.726382,3,1,,,,,,,,,,,,,,,,,,,,,
1780379991.300029,,,NEW_TRACK,2832,0,4.645756,22.540625,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780379991.300029,,,TargetLost,2830,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379991.552488,,,MATCH_REJECT,2832,0,358.343021,18.333125,4.645756,,22.540625,7.578095,6.745451,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780379991.552488,,,NEW_TRACK,2833,0,358.343021,18.333125,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780379991.552488,,,TargetLost,2830,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379991.805023,,,MATCH_ACCEPT,2833,0,356.716068,15.523542,358.343021,,18.333125,3.246650,6.745451,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780379991.805023,,,TargetLost,2830,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379992.676127,,,MATCH_REJECT,2833,0,346.209477,10.996458,357.560839,,15.026658,12.045578,9.295709,4.596672,11.890768,9.238630,2,4,,,,,,,,,,,,,,,,,,,,,
1780379992.676127,,,NEW_TRACK,2834,0,346.209477,10.996458,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780379992.676127,,,TargetLost,2830,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780379994.699301,,no_packet,TRACK_DELETE,2831,,,,256.974224,,33.307445,,,,557.175169,536.115512,0,50,,,,,,,,,,,,,,,,,,,,,
1780380001.390944,,no_packet,TRACK_DELETE,2830,,,,15.084287,,30.280327,,,,516.396833,480.933821,0,50,,,,,,,,,,,,,,,,,,,,,
1780380001.593776,,no_packet,TRACK_DELETE,2832,,,,4.645756,,22.540625,,,,1391.805407,1391.805407,0,50,,,,,,,,,,,,,,,,,,,,,
1780380001.999260,,no_packet,TRACK_DELETE,2833,,,,352.775887,,-5.200460,,,,1351.470490,1217.118496,1,50,,,,,,,,,,,,,,,,,,,,,
1780380002.817863,,no_packet,TRACK_DELETE,2834,,,,346.209477,,10.996458,,,,1365.054448,1365.054448,1,50,,,,,,,,,,,,,,,,,,,,,
1780380004.244761,,,NEW_TRACK,2835,0,318.097827,14.913958,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380004.244761,,,TargetLost,2830,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380004.768722,,,MATCH_ACCEPT,2835,0,320.394702,17.870208,318.097827,,14.913958,3.743668,6.176870,2.517446,3.168768,3.168768,1,2,,,,,,,,,,,,,,,,,,,,,
1780380004.768722,,,TargetLost,2830,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380005.001574,,,MATCH_ACCEPT,2835,0,321.935066,19.630208,319.953479,,18.310208,2.380984,5.225367,1.883111,2.495204,1.050904,2,1,,,,,,,,,,,,,,,,,,,,,
1780380005.001574,,,TargetLost,2830,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380005.001574,,,TargetSwitch,2835,,,,,,,,,,,,,,master_lost,,,,,,,,,,,,,,,,,,,,
1780380005.001574,,,UI_STATUS_SEND,2835,,,,321.035416,141.035416,19.193993,,,,,,3,0,"internal_id=2835,ui_id=858",2835,858,2835,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380007.264229,,,MATCH_ACCEPT,2835,0,320.709155,22.650625,328.819271,,30.819954,11.511382,13.553968,7.435512,33.283192,22.003645,3,11,,,,,,,,,,,,,,,,,,,,,
1780380007.264229,,,UI_STATUS_SEND,2835,,,,321.185057,141.185057,22.838769,,,,,,4,0,"internal_id=2835,ui_id=858",2835,858,2835,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380009.007756,,,MATCH_REJECT,2835,0,354.305261,22.421458,321.837384,,25.613935,32.624453,8.420261,4.013041,10.139843,5.964655,4,8,,,,,,,,,,,,,,,,,,,,,
1780380009.007756,,,NEW_TRACK,2836,0,354.305261,22.421458,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380009.007756,,,NEW_TRACK,2837,1,357.486251,20.652292,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380009.007756,,,TargetLost,2835,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380016.803661,,,MATCH_ACCEPT,2835,0,325.826993,19.868542,324.865040,,38.494356,18.650638,44.097608,27.797939,406.068344,366.657062,3,46,,,,,,,,,,,,,,,,,,,,,
1780380016.803661,,,UI_STATUS_SEND,2835,,,,325.822103,145.822103,19.894854,,,,,,4,0,"internal_id=2835,ui_id=858",2835,858,2835,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380017.599909,,,MATCH_ACCEPT,2835,0,324.560066,21.601042,326.165627,,19.224933,2.867703,6.019150,2.412300,3.852869,1.966324,4,3,,,,,,,,,,,,,,,,,,,,,
1780380017.599909,,,UI_STATUS_SEND,2835,,,,325.122045,145.122045,21.105074,,,,,,5,0,"internal_id=2835,ui_id=858",2835,858,2835,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380017.846883,,,MATCH_ACCEPT,2835,0,323.648608,17.934375,325.099539,,21.316203,3.679940,4.870769,1.646713,1.944925,0.766738,5,1,,,,,,,,,,,,,,,,,,,,,
1780380017.846379,,,UI_STATUS_SEND,2835,,,,324.397515,144.397515,19.299014,,,,,,6,0,"internal_id=2835,ui_id=858",2835,858,2835,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380018.061987,,,MATCH_REJECT,2835,0,320.449389,16.032292,324.267187,,19.011343,4.842554,4.544530,1.429220,1.474425,0.568245,6,1,,,,,,,,,,,,,,,,,,,,,
1780380018.061987,,,NEW_TRACK,2838,0,320.449389,16.032292,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380018.061987,,,TargetLost,2835,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380018.402462,,,MATCH_ACCEPT,2838,0,316.001472,14.483125,320.449389,,16.032292,4.709977,5.146151,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780380018.402462,,,TargetLost,2835,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380019.616703,,no_packet,TRACK_DELETE,2836,,,,354.305261,,22.421458,,,,1420.249976,1420.249976,0,50,,,,,,,,,,,,,,,,,,,,,
1780380019.616703,,no_packet,TRACK_DELETE,2837,,,,357.486251,,20.652292,,,,1420.249976,1420.249976,0,50,,,,,,,,,,,,,,,,,,,,,
1780380022.747630,,,MATCH_ACCEPT,2835,1,318.708504,19.359792,321.514431,,12.935217,7.010591,21.409072,12.672248,92.365913,68.219964,4,23,,,,,,,,,,,,,,,,,,,,,
1780380022.747630,,,MATCH_ACCEPT,2838,0,315.404467,21.582708,305.699224,,7.250767,17.308850,30.998631,19.065287,196.368455,167.116724,2,21,,,,,,,,,,,,,,,,,,,,,
1780380022.747125,,,UI_STATUS_SEND,2835,,,,318.770148,138.770148,19.311312,,,,,,5,0,"internal_id=2835,ui_id=858",2835,858,2835,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380023.242252,,,MATCH_ACCEPT,2835,0,322.167488,17.256042,318.199694,,19.442789,4.530480,5.407596,2.004597,2.944060,1.074351,5,2,,,,,,,,,,,,,,,,,,,,,
1780380023.242252,,,UI_STATUS_SEND,2835,,,,320.527195,140.527195,17.968052,,,,,,6,0,"internal_id=2835,ui_id=858",2835,858,2835,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380023.475658,,,MATCH_REJECT,2835,1,325.052254,15.569375,320.480468,,17.746463,5.063688,4.645974,1.496849,1.623222,0.617336,6,1,,,,,,,,,,,,,,,,,,,,,
1780380023.475658,,,MATCH_REJECT,2838,0,325.580899,15.280625,314.837876,,22.731316,13.073843,5.876909,2.317472,3.734573,1.636106,2,3,,,,,,,,,,,,,,,,,,,,,
1780380023.475658,,,NEW_TRACK,2839,0,325.580899,15.280625,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380023.475658,,,NEW_TRACK,2840,1,325.052254,15.569375,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380023.475658,,,TargetLost,2835,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380031.576701,,,MATCH_ACCEPT,2840,0,319.337410,20.633958,325.052254,,15.569375,7.636062,62.228405,39.885137,795.412073,795.412073,1,39,,,,,,,,,,,,,,,,,,,,,
1780380031.576701,,,TargetLost,2835,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380031.872313,,,MATCH_ACCEPT,2840,0,321.875821,17.613542,319.155231,,20.805625,4.194164,5.081314,1.787076,2.426890,0.766751,2,1,,,,,,,,,,,,,,,,,,,,,
1780380031.872313,,,TargetLost,2835,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380031.872313,,,TargetSwitch,2840,,,,,,,,,,,,,,master_lost,,,,,,,,,,,,,,,,,,,,
1780380031.872313,,,UI_STATUS_SEND,2840,,,,320.621916,140.621916,18.901602,,,,,,3,0,"internal_id=2840,ui_id=859",2840,859,2840,1,-1,47.610000,mono,,,,,,,,,,,,,
1780380033.286310,,no_packet,TRACK_DELETE,2838,,,,308.334032,,39.412610,,,,536.011081,512.798992,0,50,,,,,,,,,,,,,,,,,,,,,
1780380033.691508,,no_packet,TRACK_DELETE,2835,,,,318.473302,,8.228061,,,,546.835997,505.258128,3,50,,,,,,,,,,,,,,,,,,,,,
1780380033.895988,,no_packet,TRACK_DELETE,2839,,,,325.580899,,15.280625,,,,1391.299212,1391.299212,0,50,,,,,,,,,,,,,,,,,,,,,
1780380035.888348,,,BBOX_REJECT,,1,,,,,,,,,,,,,invalid_clipped_bbox,,,,,,,,,,,3990.000,422.000,4030.000,473.000,,,,,,
1780380035.888348,,,MATCH_REJECT,2840,0,27.741883,21.060208,319.775103,,14.653772,68.268042,20.482974,10.988649,63.130551,57.619865,3,19,,,,,,,,,,,,,,,,,,,,,
1780380035.888348,,,NEW_TRACK,2841,0,27.741883,21.060208,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380035.888348,,,TargetLost,2840,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380036.144727,,,MATCH_REJECT,2840,1,24.200867,18.814375,319.720646,,14.380599,64.632479,21.675657,11.783771,72.457815,66.399447,2,20,,,,,,,,,,,,,,,,,,,,,
1780380036.144727,,,MATCH_ACCEPT,2841,0,26.904014,18.507292,27.741883,,21.060208,2.686896,5.765451,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780380036.145233,,,NEW_TRACK,2842,1,24.200867,18.814375,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
