[Log] stdout/stderr -> logs\20260602_111208\main_tracking_v9_20260602_111208.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_111208
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408105668, lon=104.0886395945
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Laser] start_measurement mode=continuous
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=10.09s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.00s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.00s, meas=1, tracks=1, valid=0, master=29
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.50s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.94s, meas=1, tracks=3, valid=0, master=29
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408102942666666, lon=104.08863936866666
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.10s, meas=1, tracks=3, valid=0, master=29
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.49s, meas=1, tracks=6, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.49s, meas=1, tracks=6, valid=0, master=29
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.17s, meas=1, tracks=6, valid=0, master=29
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.79s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.79s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.80s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.80s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.09s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.87s, meas=1, tracks=7, valid=0, master=29
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408102671833333, lon=104.0886398845
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.87s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.87s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.88s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.88s, meas=1, tracks=7, valid=0, master=29
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.23s, meas=2, tracks=4, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.23s, meas=2, tracks=4, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.24s, meas=2, tracks=4, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.24s, meas=2, tracks=4, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.24s, meas=2, tracks=4, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.24s, meas=2, tracks=4, valid=0, master=29
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408102732833335, lon=104.088640249
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.24s, meas=1, tracks=3, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.25s, meas=1, tracks=3, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.25s, meas=1, tracks=3, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.26s, meas=1, tracks=3, valid=0, master=29
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.16s, meas=1, tracks=3, valid=0, master=29
[LIVE] udp=5.0/s, objs=7.0/s, last_udp=0.34s, meas=2, tracks=5, valid=2, master=41
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.12s, meas=2, tracks=6, valid=1, master=40
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.01s, meas=3, tracks=7, valid=1, master=42
[LIVE] udp=6.0/s, objs=7.0/s, last_udp=0.41s, meas=4, tracks=10, valid=2, master=42
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.41s, meas=4, tracks=10, valid=2, master=42
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408102941166668, lon=104.08864008783334
[LIVE] udp=1.0/s, objs=2.0/s, last_udp=0.88s, meas=2, tracks=10, valid=0, master=42
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.12s, meas=1, tracks=10, valid=0, master=42
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.12s, meas=1, tracks=10, valid=0, master=42
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.26s, meas=1, tracks=10, valid=0, master=42
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.05s, meas=2, tracks=10, valid=1, master=47
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.16s, meas=1, tracks=11, valid=0, master=47
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.00s, meas=2, tracks=12, valid=1, master=48
[LIVE] udp=7.0/s, objs=7.0/s, last_udp=0.23s, meas=1, tracks=11, valid=1, master=48
[LIVE] udp=9.0/s, objs=9.0/s, last_udp=0.05s, meas=3, tracks=11, valid=1, master=48
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.05s, meas=1, tracks=11, valid=1, master=48
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408103095, lon=104.08864051983333
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.27s, meas=2, tracks=9, valid=2, master=47
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.22s, meas=1, tracks=9, valid=1, master=48
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.12s, meas=3, tracks=11, valid=0, master=48
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.30s, meas=3, tracks=11, valid=2, master=47
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.12s, meas=3, tracks=11, valid=2, master=47
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.54s, meas=1, tracks=10, valid=1, master=53
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.90s, meas=1, tracks=10, valid=1, master=53
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.91s, meas=1, tracks=10, valid=1, master=53
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.91s, meas=1, tracks=10, valid=1, master=53
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.20s, meas=2, tracks=9, valid=1, master=53
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408102867666667, lon=104.08864112266667
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.59s, meas=1, tracks=8, valid=1, master=53
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.59s, meas=1, tracks=8, valid=1, master=53
