timestamp,seq,mode,board,cam,meas_idx,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,raw_bbox_w,raw_bbox_h,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,clipped_bbox_w,clipped_bbox_h,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,is_edge_bbox,visible_ratio,mono_dist,meas_az,meas_el
1780454298.606779,,,BOARD_1,2,1,2382.000,1787.000,2618.000,2263.000,236.000,476.000,2382.000,1787.000,2618.000,2160.000,236.000,373.000,2382.000,1787.000,2618.000,2160.000,2500.000,1973.500,236.000,373.000,1,0.783613,26.430000,2.643229,-4.095208
1780454298.924368,,,BOARD_2,1,0,632.000,1960.000,880.000,2140.000,248.000,180.000,632.000,1960.000,880.000,2140.000,248.000,180.000,632.000,1960.000,880.000,2140.000,756.000,2050.000,248.000,180.000,0,1.000000,25.150000,10.254613,5.054167
1780454299.299957,,,BOARD_2,1,0,637.000,1903.000,885.000,2083.000,248.000,180.000,637.000,1903.000,885.000,2083.000,248.000,180.000,637.000,1903.000,885.000,2083.000,761.000,1993.000,248.000,180.000,0,1.000000,25.150000,10.277399,5.315417
1780454301.405074,,,BOARD_2,1,0,1992.000,1924.000,2124.000,2016.000,132.000,92.000,1992.000,1924.000,2124.000,2016.000,132.000,92.000,1992.000,1924.000,2124.000,2016.000,2058.000,1970.000,132.000,92.000,0,1.000000,47.250000,16.188206,5.420833
1780454301.788756,,,BOARD_2,1,0,2305.000,1899.000,2553.000,2079.000,248.000,180.000,2305.000,1899.000,2553.000,2079.000,248.000,180.000,2305.000,1899.000,2553.000,2079.000,2429.000,1989.000,248.000,180.000,0,1.000000,25.150000,17.878961,5.333750
1780454355.086076,,,BOARD_2,1,0,1439.000,124.000,1903.000,484.000,464.000,360.000,1439.000,124.000,1903.000,484.000,464.000,360.000,1439.000,124.000,1903.000,484.000,1671.000,304.000,464.000,360.000,0,1.000000,13.440000,14.424534,13.056667
1780454357.542778,,,BOARD_1,2,0,2381.000,2145.000,2629.000,2325.000,248.000,180.000,2381.000,2145.000,2629.000,2160.000,248.000,15.000,2381.000,2145.000,2629.000,2160.000,2505.000,2152.500,248.000,15.000,1,0.083333,25.150000,2.666016,-4.915625
1780454358.695534,,,BOARD_3,1,0,832.000,623.000,1296.000,983.000,464.000,360.000,832.000,623.000,1296.000,983.000,464.000,360.000,832.000,623.000,1296.000,983.000,1064.000,803.000,464.000,360.000,0,1.000000,13.440000,15.791058,20.269583
1780454360.232509,,,BOARD_3,1,0,1907.000,624.000,2371.000,984.000,464.000,360.000,1907.000,624.000,2371.000,984.000,464.000,360.000,1907.000,624.000,2371.000,984.000,2139.000,804.000,464.000,360.000,0,1.000000,13.440000,20.690147,20.265000
1780454360.517160,,,BOARD_3,1,0,1992.000,640.000,2456.000,1000.000,464.000,360.000,1992.000,640.000,2456.000,1000.000,464.000,360.000,1992.000,640.000,2456.000,1000.000,2224.000,820.000,464.000,360.000,0,1.000000,13.440000,21.077517,20.191667
1780454364.984446,,,BOARD_3,1,0,2041.000,525.000,2277.000,1001.000,236.000,476.000,2041.000,525.000,2277.000,1001.000,236.000,476.000,2041.000,525.000,2277.000,1001.000,2159.000,763.000,236.000,476.000,0,1.000000,26.430000,20.781293,20.452917
1780454365.301249,,,BOARD_3,1,0,1901.000,590.000,2365.000,950.000,464.000,360.000,1901.000,590.000,2365.000,950.000,464.000,360.000,1901.000,590.000,2365.000,950.000,2133.000,770.000,464.000,360.000,0,1.000000,13.440000,20.662803,20.420833
1780454365.899183,,,BOARD_3,1,0,1869.000,567.000,2333.000,927.000,464.000,360.000,1869.000,567.000,2333.000,927.000,464.000,360.000,1869.000,567.000,2333.000,927.000,2101.000,747.000,464.000,360.000,0,1.000000,13.440000,20.516970,20.526250
1780454377.057996,,,BOARD_3,1,0,392.000,1033.000,856.000,1393.000,464.000,360.000,392.000,1033.000,856.000,1393.000,464.000,360.000,392.000,1033.000,856.000,1393.000,624.000,1213.000,464.000,360.000,0,1.000000,13.440000,13.785850,18.390417
1780454377.314573,,,BOARD_3,1,0,635.000,988.000,871.000,1464.000,236.000,476.000,635.000,988.000,871.000,1464.000,236.000,476.000,635.000,988.000,871.000,1464.000,753.000,1226.000,236.000,476.000,0,1.000000,26.430000,14.373741,18.330833
1780454379.397456,,,BOARD_3,1,0,1621.000,1077.000,2085.000,1437.000,464.000,360.000,1621.000,1077.000,2085.000,1437.000,464.000,360.000,1621.000,1077.000,2085.000,1437.000,1853.000,1257.000,464.000,360.000,0,1.000000,13.440000,19.386761,18.188750
